GroupID,Year,Area,TLC,X,Y,MainPlace,Municipality,District,Province
1000008,2003,Garagapola                                                                                                                                                                                                                                                ,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
1000009,2003,Gasese                                                                                                                                                                                                                                                    ,Bophirima District Council,23.04,-27.11,Ga-Sese,Joe Morolong,John Taolo Gaetsewe,Northern Cape
1000010,2003,Ikgomotseng                                                                                                                                                                                                                                               ,Moddervaal RLC,26.1,-28.73,Ikgomotseng,Masilonyana,Lejweleputswa,Free State
1000011,2003,Maconqo                                                                                                                                                                                                                                                   ,U,23.26,-13.27,,,,
1000012,2003,Matshana                                                                                                                                                                                                                                                  ,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
1000013,2003,Mfazazane                                                                                                                                                                                                                                                 ,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
1000014,2003,Tambo                                                                                                                                                                                                                                                     ,Queenstown Rural TRC,26.81,-32.13,Tambo,Lukanji,Chris Hani,Eastern Cape
1000016,2003,Greenturf                                                                                                                                                                                                                                                 ,U,31.03,-29.72,Phoenix,eThekwini,eThekwini,KwaZulu-Natal
1000017,2003,Kabega                                                                                                                                                                                                                                                    ,,25.49,-33.94,Port Elizaberth,Nelson Mandela Bay,Nelson Mandela Bay,Eastern Cape
1000018,2003,Moreletta Park                                                                                                                                                                                                                                            ,,28.28,-25.81,Pretoria,City of Tshwane,City of Tshwane,Gauteng
1000019,2003,Westridge                                                                                                                                                                                                                                                 ,Central Cape Town MLC,18.6,-34.05,Mitchells Plain,City of Cape Town,City of Cape Town,Western Cape
1000022,2004,Matshana                                                                                                                                                                                                                                                  ,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
1000023,2004,Greenturf                                                                                                                                                                                                                                                 ,U,31.03,-29.72,Phoenix,eThekwini,eThekwini,KwaZulu-Natal
1000024,2004,Westridge                                                                                                                                                                                                                                                 ,Central Cape Town MLC,18.6,-34.05,Mitchells Plain,City of Cape Town,City of Cape Town,Western Cape
1000025,2004,Kabega                                                                                                                                                                                                                                                    ,,25.49,-33.94,Port Elizaberth,Nelson Mandela Bay,Nelson Mandela Bay,Eastern Cape
1000026,2004,Vlaklaagte                                                                                                                                                                                                                                                ,Mkobola,28.87,-25.36,Thembisile NU,Thembisile,Nkangala,Mpumalanga
1000027,2004,Khayalitsha                                                                                                                                                                                                                                               ,,18.67,-34.03,Khayelitsha,City of Cape Town,City of Cape Town,Western Cape
1000028,2004,Dinokana                                                                                                                                                                                                                                                  ,Central District Council,25.88,-25.45,Dinokana,Ramotshere Moiloa,Ngaka Modiri Molema,North West
1000029,2004,Driekoppies                                                                                                                                                                                                                                               ,Nkomazi West TRC,31.56,-25.7,Driekoppies,Nkomazi,Ehlanzeni,Mpumalanga
1000029,2004,Driekoppies                                                                                                                                                                                                                                               ,Bochum/ My Darling RLC,28.7,-23.22,Driekopies,Blouberg,Capricorn,Limpopo
1000031,2005,Dinokana                                                                                                                                                                                                                                                  ,Central District Council,25.88,-25.45,Dinokana,Ramotshere Moiloa,Ngaka Modiri Molema,North West
1000032,2005,Peacetown                                                                                                                                                                                                                                                 ,,29.74,-28.45,PeaceTown,Emnambithi/Ladysmith,Uthukela,KwaZulu-Natal
1000033,2005,Khayalitsha                                                                                                                                                                                                                                               ,,18.67,-34.03,Khayelitsha,City of Cape Town,City of Cape Town,Western Cape
1000034,2005,Matshana                                                                                                                                                                                                                                                  ,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
1000035,2005,Vlaklaagte                                                                                                                                                                                                                                                ,Mkobola,28.87,-25.36,Thembisile NU,Thembisile,Nkangala,Mpumalanga
1000036,2005,Driekoppies                                                                                                                                                                                                                                               ,Bochum/ My Darling RLC,28.7,-23.22,Driekopies,Blouberg,Capricorn,Limpopo
1000036,2005,Driekoppies                                                                                                                                                                                                                                               ,Nkomazi West TRC,31.56,-25.7,Driekoppies,Nkomazi,Ehlanzeni,Mpumalanga
1000038,2005,Greenturf                                                                                                                                                                                                                                                 ,U,31.03,-29.72,Phoenix,eThekwini,eThekwini,KwaZulu-Natal
1000039,2005,Kabega                                                                                                                                                                                                                                                    ,,25.49,-33.94,Port Elizaberth,Nelson Mandela Bay,Nelson Mandela Bay,Eastern Cape
1000040,2005,Westridge                                                                                                                                                                                                                                                 ,Central Cape Town MLC,18.6,-34.05,Mitchells Plain,City of Cape Town,City of Cape Town,Western Cape
1000041,2005,La Lucia                                                                                                                                                                                                                                                  ,Northern Durban MLC,31.05,-29.74,Umhlanga,eThekwini,eThekwini,KwaZulu-Natal
