,GroupName,Description,ContextID,ParentID,lock,Year,Area
1000104,2011 Ga-Luka                                                                                                                                                                                                                                                   ,NULL,1000004,1000094,0,2011,Ga-Luka                                                                                                                                                                                                                                                   
1000105,2011 Ga-Nkoane                                                                                                                                                                                                                                                 ,NULL,1000004,1000094,0,2011,Ga-Nkoane                                                                                                                                                                                                                                                 
1000106,2011 Hankey                                                                                                                                                                                                                                                    ,NULL,1000004,1000094,0,2011,Hankey                                                                                                                                                                                                                                                    
1000107,2011 Matshana                                                                                                                                                                                                                                                  ,NULL,1000004,1000094,0,2011,Matshana                                                                                                                                                                                                                                                  
1000108,2011 Vlaklaagte                                                                                                                                                                                                                                                ,NULL,1000004,1000094,0,2011,Vlaklaagte                                                                                                                                                                                                                                                
1000109,2011 Wattville                                                                                                                                                                                                                                                 ,NULL,1000004,1000094,0,2011,Wattville                                                                                                                                                                                                                                                 
1000119,2012 Butterworth                                                                                                                                                                                                                                               ,NULL,1000004,1000110,0,2012,Butterworth                                                                                                                                                                                                                                               
1000120,2012 Fourways Gdns                                                                                                                                                                                                                                             ,NULL,1000004,1000110,0,2012,Fourways Gdns                                                                                                                                                                                                                                             
1000111,2012 Ga-Luka                                                                                                                                                                                                                                                   ,NULL,1000004,1000110,0,2012,Ga-Luka                                                                                                                                                                                                                                                   
1000112,2012 Ga-Nkoane                                                                                                                                                                                                                                                 ,NULL,1000004,1000110,0,2012,Ga-Nkoane                                                                                                                                                                                                                                                 
1000113,2012 Hankey                                                                                                                                                                                                                                                    ,NULL,1000004,1000110,0,2012,Hankey                                                                                                                                                                                                                                                    
1000114,2012 Matshana                                                                                                                                                                                                                                                  ,NULL,1000004,1000110,0,2012,Matshana                                                                                                                                                                                                                                                  
1000117,2012 Matsulu                                                                                                                                                                                                                                                   ,NULL,1000004,1000110,0,2012,Matsulu                                                                                                                                                                                                                                                   
1000118,2012 Seloshesa                                                                                                                                                                                                                                                 ,NULL,1000004,1000110,0,2012,Seloshesa                                                                                                                                                                                                                                                 
1000115,2012 Vlaklaagte                                                                                                                                                                                                                                                ,NULL,1000004,1000110,0,2012,Vlaklaagte                                                                                                                                                                                                                                                
1000116,2012 Wattville                                                                                                                                                                                                                                                 ,NULL,1000004,1000110,0,2012,Wattville                                                                                                                                                                                                                                                 
1000133,2013 Bophelong                                                                                                                                                                                                                                                 ,NULL,1000004,1000121,0,2013,Bophelong                                                                                                                                                                                                                                                 
1000130,2013 Butterworth                                                                                                                                                                                                                                               ,NULL,1000004,1000121,0,2013,Butterworth                                                                                                                                                                                                                                               
1000132,2013 Dipelaneng                                                                                                                                                                                                                                                ,NULL,1000004,1000121,0,2013,Dipelaneng                                                                                                                                                                                                                                                
1000131,2013 Fourways Gdns                                                                                                                                                                                                                                             ,NULL,1000004,1000121,0,2013,Fourways Gdns                                                                                                                                                                                                                                             
1000122,2013 Ga-Luka                                                                                                                                                                                                                                                   ,NULL,1000004,1000121,0,2013,Ga-Luka                                                                                                                                                                                                                                                   
1000123,2013 Ga-Nkoane                                                                                                                                                                                                                                                 ,NULL,1000004,1000121,0,2013,Ga-Nkoane                                                                                                                                                                                                                                                 
1000124,2013 Hankey                                                                                                                                                                                                                                                    ,NULL,1000004,1000121,0,2013,Hankey                                                                                                                                                                                                                                                    
1000125,2013 Matshana                                                                                                                                                                                                                                                  ,NULL,1000004,1000121,0,2013,Matshana                                                                                                                                                                                                                                                  
1000128,2013 Matsulu                                                                                                                                                                                                                                                   ,NULL,1000004,1000121,0,2013,Matsulu                                                                                                                                                                                                                                                   
1000134,2013 Phomolong                                                                                                                                                                                                                                                 ,NULL,1000004,1000121,0,2013,Phomolong                                                                                                                                                                                                                                                 
1000129,2013 Seloshesa                                                                                                                                                                                                                                                 ,NULL,1000004,1000121,0,2013,Seloshesa                                                                                                                                                                                                                                                 
1000126,2013 Vlaklaagte                                                                                                                                                                                                                                                ,NULL,1000004,1000121,0,2013,Vlaklaagte                                                                                                                                                                                                                                                
1000127,2013 Wattville                                                                                                                                                                                                                                                 ,NULL,1000004,1000121,0,2013,Wattville                                                                                                                                                                                                                                                 
1000147,2014 Bophelong                                                                                                                                                                                                                                                 ,NULL,1000004,1000135,0,2014,Bophelong                                                                                                                                                                                                                                                 
1000144,2014 Butterworth                                                                                                                                                                                                                                               ,NULL,1000004,1000135,0,2014,Butterworth                                                                                                                                                                                                                                               
1000146,2014 Dipelaneng                                                                                                                                                                                                                                                ,NULL,1000004,1000135,0,2014,Dipelaneng                                                                                                                                                                                                                                                
1000145,2014 Fourways Gdns                                                                                                                                                                                                                                             ,NULL,1000004,1000135,0,2014,Fourways Gdns                                                                                                                                                                                                                                             
1000136,2014 Ga-Luka                                                                                                                                                                                                                                                   ,NULL,1000004,1000135,0,2014,Ga-Luka                                                                                                                                                                                                                                                   
1000137,2014 Ga-Nkoane                                                                                                                                                                                                                                                 ,NULL,1000004,1000135,0,2014,Ga-Nkoane                                                                                                                                                                                                                                                 
1000138,2014 Hankey                                                                                                                                                                                                                                                    ,NULL,1000004,1000135,0,2014,Hankey                                                                                                                                                                                                                                                    
1000139,2014 Matshana                                                                                                                                                                                                                                                  ,NULL,1000004,1000135,0,2014,Matshana                                                                                                                                                                                                                                                  
