ID,AreaName,PlaceName,TLC,X,Y,MainPlace,Municipality,District,Province
1000081,Dinokana,Dinokana,Central District Council,25.88,-25.45,Dinokana,Ramotshere Moiloa,Ngaka Modiri Molema,North West
1000082,Khayalitsha,Khayalitsha,,18.67,-34.03,Khayelitsha,City of Cape Town,City of Cape Town,Western Cape
1000083,Matshana,Matshana,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
1000084,Peacetown,Peacetown,,29.74,-28.45,PeaceTown,Emnambithi/Ladysmith,Uthukela,KwaZulu-Natal
1000085,Vlaklaagte,Vlaklaagte,Mkobola,28.87,-25.36,Thembisile NU,Thembisile,Nkangala,Mpumalanga
1000087,Woodhill,Woodhill,U,22.66,-33.93,George NU,George,Eden,Western Cape
1000088,Ga-Nkoane,Ga-Nkoane,,29.77,-24.41,KaMapolaneng,Fetakgomo,Greater Sekhukhune,Limpopo
1000089,Wattville,Wattville,Benoni,28.3,-26.22,Wattville,Ekurhuleni,Ekurhuleni,Gauteng
1000092,Matshana,Matshana,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
1000093,Vlaklaagte,Vlaklaagte,Mkobola,28.87,-25.36,Thembisile NU,Thembisile,Nkangala,Mpumalanga
1000095,Matshana,Matshana,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
1000097,Ga-Luka,Ga-Luka,Rustenburg District Council,27.18,-25.5,GaLuka,Rustenburg,Bojanala,North West
1000098,Vlaklaagte,Vlaklaagte,Mkobola,28.87,-25.36,Thembisile NU,Thembisile,Nkangala,Mpumalanga
1000099,Wattville,Wattville,Benoni,28.3,-26.22,Wattville,Ekurhuleni,Ekurhuleni,Gauteng
1000102,Ga-Nkoane,Ga-Nkoane,,29.77,-24.41,KaMapolaneng,Fetakgomo,Greater Sekhukhune,Limpopo
1000103,Hankey,Hankey,Hankey,24.86,-33.82,Hankey,Kouga,Cacadu,Eastern Cape
1000104,Ga-Luka,Ga-Luka,Rustenburg District Council,27.18,-25.5,GaLuka,Rustenburg,Bojanala,North West
1000105,Ga-Nkoane,Ga-Nkoane,,29.77,-24.41,KaMapolaneng,Fetakgomo,Greater Sekhukhune,Limpopo
1000106,Hankey,Hankey,Hankey,24.86,-33.82,Hankey,Kouga,Cacadu,Eastern Cape
1000107,Matshana,Matshana,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
1000108,Vlaklaagte,Vlaklaagte,Mkobola,28.87,-25.36,Thembisile NU,Thembisile,Nkangala,Mpumalanga
1000109,Wattville,Wattville,Benoni,28.3,-26.22,Wattville,Ekurhuleni,Ekurhuleni,Gauteng
1000111,Ga-Luka,Ga-Luka,Rustenburg District Council,27.18,-25.5,GaLuka,Rustenburg,Bojanala,North West
1000112,Ga-Nkoane,Ga-Nkoane,,29.77,-24.41,KaMapolaneng,Fetakgomo,Greater Sekhukhune,Limpopo
1000113,Hankey,Hankey,Hankey,24.86,-33.82,Hankey,Kouga,Cacadu,Eastern Cape
1000114,Matshana,Matshana,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
1000115,Vlaklaagte,Vlaklaagte,Mkobola,28.87,-25.36,Thembisile NU,Thembisile,Nkangala,Mpumalanga
1000116,Wattville,Wattville,Benoni,28.3,-26.22,Wattville,Ekurhuleni,Ekurhuleni,Gauteng
1000117,Matsulu,Matsulu,Nelspruit,31.33,-25.51,Matsulu,Mbombela,Ehlanzeni,Mpumalanga
1000118,Seloshesa,Seloshesa,,26.81,-29.19,Thabanchu,Mangaung,Mangaung,Free State
1000119,Butterworth,Butterworth,Butterworth,28.22,-32.31,Butterworth,Mnquma,Amathole,Eastern Cape
1000122,Ga-Luka,Ga-Luka,Rustenburg District Council,27.18,-25.5,GaLuka,Rustenburg,Bojanala,North West
1000123,Ga-Nkoane,Ga-Nkoane,,29.77,-24.41,KaMapolaneng,Fetakgomo,Greater Sekhukhune,Limpopo
1000124,Hankey,Hankey,Hankey,24.86,-33.82,Hankey,Kouga,Cacadu,Eastern Cape
1000125,Matshana,Matshana,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
1000126,Vlaklaagte,Vlaklaagte,Mkobola,28.87,-25.36,Thembisile NU,Thembisile,Nkangala,Mpumalanga
1000127,Wattville,Wattville,Benoni,28.3,-26.22,Wattville,Ekurhuleni,Ekurhuleni,Gauteng
1000128,Matsulu,Matsulu,Nelspruit,31.33,-25.51,Matsulu,Mbombela,Ehlanzeni,Mpumalanga
1000129,Seloshesa,Seloshesa,,26.81,-29.19,Thabanchu,Mangaung,Mangaung,Free State
1000130,Butterworth,Butterworth,Butterworth,28.22,-32.31,Butterworth,Mnquma,Amathole,Eastern Cape
1000132,Dipelaneng,Dipelaneng,U,28.78,-28.61,Maluti A Phofung NU,Maluti a Phofung,Thabo Mofutsanyane,Free State
1000133,Bophelong,Bophelong,Western Vaal MLC,27.8,-26.69,Bophelong,Emfuleni,Sedibeng,Gauteng
1000134,Phomolong,Phomolong,Edenvale/ Modderfontein MLC,28.18,-26.04,Tembisa,Ekurhuleni,Ekurhuleni,Gauteng
1000134,Phomolong,Phomolong,Hennenman,27.08,-28.01,Phomolong,Matjhabeng,Lejweleputswa,Free State
1000136,Ga-Luka,Ga-Luka,Rustenburg District Council,27.18,-25.5,GaLuka,Rustenburg,Bojanala,North West
1000137,Ga-Nkoane,Ga-Nkoane,,29.77,-24.41,KaMapolaneng,Fetakgomo,Greater Sekhukhune,Limpopo
1000138,Hankey,Hankey,Hankey,24.86,-33.82,Hankey,Kouga,Cacadu,Eastern Cape
1000139,Matshana,Matshana,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
1000140,Vlaklaagte,Vlaklaagte,Mkobola,28.87,-25.36,Thembisile NU,Thembisile,Nkangala,Mpumalanga
1000141,Wattville,Wattville,Benoni,28.3,-26.22,Wattville,Ekurhuleni,Ekurhuleni,Gauteng
1000142,Matsulu,Matsulu,Nelspruit,31.33,-25.51,Matsulu,Mbombela,Ehlanzeni,Mpumalanga
1000143,Seloshesa,Seloshesa,,26.81,-29.19,Thabanchu,Mangaung,Mangaung,Free State
1000144,Butterworth,Butterworth,Butterworth,28.22,-32.31,Butterworth,Mnquma,Amathole,Eastern Cape
1000146,Dipelaneng,Dipelaneng,U,28.78,-28.61,Maluti A Phofung NU,Maluti a Phofung,Thabo Mofutsanyane,Free State
1000147,Bophelong,Bophelong,Western Vaal MLC,27.8,-26.69,Bophelong,Emfuleni,Sedibeng,Gauteng
1000148,Phomolong,Phomolong,Edenvale/ Modderfontein MLC,28.18,-26.04,Tembisa,Ekurhuleni,Ekurhuleni,Gauteng
1000148,Phomolong,Phomolong,Hennenman,27.08,-28.01,Phomolong,Matjhabeng,Lejweleputswa,Free State
2000002,Matshana,Matshana,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
2000003,Maconqo,Maconqo,U,23.26,-13.27,,,,
